iter	RMSE
367	0.2421776527
368	0.2421627031
369	0.2419611743
370	0.2417510136
371	0.2416655233
372	0.2414961972
373	0.2413662113
374	0.2413556117
375	0.2411041172
376	0.2411028811
377	0.2410229627
378	0.2409511692
379	0.2409486458
380	0.240652923
381	0.2404943873
382	0.2403799632
383	0.2403776124
384	0.2402243619
385	0.2401886586
386	0.2401161281
387	0.2398851057
388	0.239862647
389	0.2397414736
390	0.2395758216
391	0.239404147
392	0.2392082908
393	0.2391914935
394	0.2391314038
395	0.2389984852
396	0.2388559071
397	0.2388040154
398	0.2386449888
399	0.2384538728
400	0.2383445761
401	0.2383104054
402	0.2381550506
403	0.238076536
404	0.2379731787
405	0.2376870393
406	0.2376192144
407	0.2374881937
408	0.2374875129
409	0.2373883374
410	0.2372267729
411	0.2371411686
412	0.2370155326
413	0.2368251165
414	0.2367188379
415	0.2365385716
416	0.2363909482
417	0.2362558521
418	0.2362107897
419	0.2362092862
420	0.2360177734
421	0.2359569256
422	0.2358677213
423	0.2357431004
424	0.2356091845
425	0.2354119536
426	0.2353706611
427	0.2352830974
428	0.2351144355
429	0.2349661454
430	0.2348895187
431	0.2348068453
432	0.2346808864
433	0.2345465927
434	0.2345065084
435	0.2344790031
436	0.2343892377
437	0.2343247069
438	0.2342246114
439	0.2341952751
440	0.2340377913
441	0.2340159441
442	0.233893053
443	0.2337776103
444	0.2336822078
445	0.2335280793
446	0.2333933746
447	0.2332989794
448	0.2331419205
449	0.2330008835
450	0.2328772711
451	0.2328759921
452	0.2328576489
453	0.2327806185
454	0.2327401327
455	0.2326699208
456	0.2326398085
457	0.232592881
458	0.2325629979
459	0.2325152304
460	0.2323075307
461	0.2321185616
462	0.2321172876
463	0.232019441
464	0.2319290572
465	0.2318305097
466	0.2316904669
467	0.2315753293
468	0.2315053182
469	0.2314001718
470	0.2312535651
471	0.2311470003
472	0.2309913948
473	0.2309902087
474	0.2308160284
475	0.230687276
476	0.2305836081
477	0.2304665055
478	0.2304653177
479	0.2303483268
480	0.2302098431
481	0.2301258129
482	0.230124724
483	0.2300479677
484	0.2299544424
485	0.229892509
486	0.2297170312
487	0.2296575335
488	0.2295475676
489	0.2294352946
490	0.2293740757
491	0.2292787576
492	0.2291905694
493	0.229188536
494	0.2291466524
495	0.2290650679
496	0.2289344685
497	0.2288706044
498	0.2288439936
499	0.2287300531
